MemId,Name,Family,Region,ImageUrl,IsClarified,EditTime
11014,ابوالفضل ابوترابی,,نجف‌آباد، تیران و کرون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11014,False,2023-11-05T16:46:56.009082
11015,اکبر احمدپور,,خواف و رشتخوار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11015,False,2023-11-05T16:46:56.009082
11016,سیدلفته احمدنژاد,,خرمشهر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11016,False,2023-11-05T16:46:56.009082
11017,محمدرضا احمدی,,رشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11017,False,2023-11-05T16:46:56.009082
11018,موسی احمدی,,کنگان، دیر، جم و عسلویه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11018,False,2023-11-05T16:46:56.009082
11019,محمود احمدی بیغش,,شازند,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11019,False,2023-11-05T16:46:56.009082
11020,اسفندیار اختیاری کسنویه یزد,,زرتشتیان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11020,False,2023-11-05T16:46:56.009082
11021,احسان ارکانی,,نیشابور و فیروزه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11021,False,2023-11-05T16:46:56.009082
11022,سلمان اسحاقی,,قائنات و زیرکوه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11022,False,2023-11-05T16:46:56.009082
11023,مهدی اسماعیلی,,میانه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11023,False,2023-11-05T16:46:56.009082
11024,ولی اسماعیلی,,گرمی و انگوت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11024,False,2023-11-05T16:46:56.009082
11025,ذبیح الله اعظمی ساردوئی,,جیرفت و عنبرآباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11025,False,2023-11-05T16:46:56.009082
11027,زهره الهیان,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11027,False,2023-11-05T16:46:56.009082
