MemId,Name,Family,Region,ImageUrl,IsClarified
11114,سیداحمد رسولی نژاد,,دماوند و فیروزکوه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11114,f
11115,محمد رشیدی,,کرمانشاه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11115,f
11116,جلال رشیدی کوچی,,مرودشت، پاسارگاد و ارسنجان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11116,f
11117,ابراهیم رضائی,,دشتستان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11117,f
11118,علی رضائی,,کنگاور، صحنه و هرسین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11118,f
11119,محمدرضا رضائی کوچی,,جهرم و خفر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11119,f
11120,مصطفی رضاحسینی قطب آبادی,,شهر بابک,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11120,f
11121,مجتبی رضاخواه,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11121,f
11122,یعقوب رضازاده,,سلماس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11122,f
11123,غلامحسین رضوانی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11123,f
11124,سمیه رفیعی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11124,f
11125,عبدالحسین روح الامینی نجف آبادی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11125,f
11126,مهدی روشنفکر,,بویراحمد و دنا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11126,f
11127,رحیم زارع,,آباده، بوانات، خرم بید و سرچهان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11127,f
11128,منصورعلی زارعی کیاپی,,ساری و میاندورود,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11128,f
11130,محمدمهدی زاهدی,,کرمان و راور,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11130,f
11129,علی رضا زاکانی (مستعفی),,قم,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11129,f
11131,آرش زره تن لهونی,,اورامانات,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11131,f
11132,علی زنجانی حسنلوئی,,نقده و اشنویه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11132,f
11283,علیرضا زندیان,,بیجار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11283,f
11133,محسن زنگنه,,تربت حیدریه، مه ولات و زاوه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11133,f
11134,سیدجواد ساداتی نژاد (مستعفی),,کاشان و آران بیدگل,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11134,f
11135,قاسم ساعدی,,دشت آزادگان و هویزه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11135,f
11136,همایون سامه یح نجف آبادی,,کلیمیان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11136,f
11137,محمد سبزی,,ساوه و زرندیه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11137,f
11138,محمد سرگزی,,زابل، زهک، هیرمند، نیمروز و هامون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11138,f
11139,کیومرث سرمدی واله,,اسدآباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11139,f
11140,مهدی سعادتی بیشه سری,,بابل,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11140,f
